Caminho : 1 
Caminho : 1 2 
Caminho : 1 3 5 8 10 
Caminho : 1 3 5 8 9 
Caminho : 1 3 5 9 4 
Caminho : 1 3 5 9 10 
Caminho : 1 3 5 10 4 
Caminho : 1 3 6 8 10 
Caminho : 1 3 6 8 5 
Caminho : 1 3 6 8 10 
Caminho : 1 3 6 8 2 
Caminho : 1 3 6 8 5 
Caminho : 1 3 6 8 7 
Caminho : 1 3 6 8 9 
Caminho : 1 3 6 8 10 
Caminho : 1 3 6 8 2 
Caminho : 1 3 6 8 4 
Caminho : 1 3 6 8 10 
Caminho : 1 3 6 10 4 
Caminho : 1 3 6 10 8 
Caminho : 1 3 6 4 5 
Caminho : 1 3 6 4 2 
Caminho : 1 3 6 4 5 
Caminho : 1 3 6 4 7 
Caminho : 1 3 6 4 9 
Caminho : 1 3 6 4 5 
Caminho : 1 3 6 4 8 
Caminho : 1 3 6 4 10 
Caminho : 1 3 6 5 2 
Caminho : 1 3 6 5 8 
Caminho : 1 3 6 5 9 
Caminho : 1 3 6 5 10 
Caminho : 1 3 6 10 8 
Caminho : 1 3 6 2 4 
Caminho : 1 3 6 2 5 
Caminho : 1 3 6 2 7 
Caminho : 1 3 6 2 8 
Caminho : 1 3 6 2 9 
Caminho : 1 3 6 2 4 
Caminho : 1 3 6 2 8 
Caminho : 1 3 6 2 10 
Caminho : 1 3 6 4 9 
Caminho : 1 3 6 4 8 
Caminho : 1 3 6 4 10 
Caminho : 1 3 6 5 9 
Caminho : 1 3 6 5 4 
Caminho : 1 3 6 5 10 
Caminho : 1 3 6 7 9 
Caminho : 1 3 6 7 2 
Caminho : 1 3 6 7 4 
Caminho : 1 3 6 7 5 
Caminho : 1 3 6 7 8 
Caminho : 1 3 6 7 10 
Caminho : 1 3 6 8 10 
Caminho : 1 3 6 9 10 
Caminho : 1 3 6 9 2 
Caminho : 1 3 6 9 4 
Caminho : 1 3 6 9 8 
Caminho : 1 3 6 9 10 
Caminho : 1 3 7 8 5 
Caminho : 1 3 7 8 10 
Caminho : 1 3 7 8 2 
Caminho : 1 3 7 8 9 
Caminho : 1 3 7 4 9 
Caminho : 1 3 7 4 5 
Caminho : 1 3 7 4 9 
Caminho : 1 3 7 4 10 
Caminho : 1 3 7 9 4 
Caminho : 1 3 7 9 5 
Caminho : 1 3 7 9 10 
Caminho : 1 3 7 9 2 
Caminho : 1 3 7 9 10 
Caminho : 1 3 7 2 4 
Caminho : 1 3 7 2 5 
Caminho : 1 3 7 2 9 
Caminho : 1 3 7 2 10 
